PRODUCT,IMAGE,specification
acer predator 21 x gx21-71 laptop,https://cdn1.smartprix.com/rx-iQJZ4Kekd-w103-h125/acer-predator-21-x-g.jpg,acer intelcorei77thgen 64gbram 1tbhdd 1tbssd 16gbnvidiagraphicscard 21.0 windows10 700000
acer predator triton 700 pt715-51,https://cdn1.smartprix.com/rx-iyRu0raJw-w103-h125/acer-predator-triton.jpg,acer intelcorei77thgen 16gbram 1tbhdd nossd 8gbnvidiagraphicscard 15.6 windows10 300000
acer predator triton 900 laptop,https://cdn1.smartprix.com/rx-i03FnxkQz-w103-h125/acer-predator-triton.jpg,acer intelcorei78thgen 16gbram nohdd 512gbssd 8gbnvidiagraphicscard 17.3 windows10 300000
acer predator g9-793,https://cdn1.smartprix.com/rx-ivQStJyZL-w103-h125/acer-predator-g9-793.jpg,acer intelcorei77thgen 16gbram 2tbhdd 256gbsd 8gbnvidiagraphicscard 17.3 windows10 190000
acer predator helios 700 gaming laptop,https://cdn1.smartprix.com/rx-ibqrzzQad-w103-h125/acer-predator-helios.jpg,acer intelcorei99thgen 32gbram 2tbhdd nossd 8gbnvidiagraphicscard 17.3 windows10 188000
acer predator g9-793,https://cdn1.smartprix.com/rx-ikFWaYUjM-w103-h125/acer-predator-g9-793.jpg,acer intelcorei77thgen 16gbram 2tbhdd 512gbssd 8gbgraphicscard 17.3 windows10 187000
acer predator g9-792,https://cdn1.smartprix.com/rx-i4HX8TEdA-w103-h125/acer-predator-g9-792.jpg,acer intelcorei76thgen 16gbram 1tbhdd nossd 8gbnvidiagraphicscard 17.3 windows10 180000
acer predator g9-591,https://cdn1.smartprix.com/rx-icLcVlkAM-w103-h125/acer-predator-g9-591.jpg,acer intelcorei76thgen 16gbram 1tbhdd nossd 4gbnvidiagraphicscard 15.6 windows10 180000
acer predator ph317-51-787b laptop,https://cdn1.smartprix.com/rx-iJ0jQ1MUP-w103-h125/acer-predator-ph317.jpg,acer intelcorei77thgen 16gbram 1tbhdd 256gbsd 6gbnvidiagraphicscard 17.3 windows10 168000
acer spin 5 sp513-52n-52pl,https://cdn1.smartprix.com/rx-iFRQia4BP-w103-h125/acer-spin-5-sp513-52.jpg,acer intelcorei58thgen 8gbram nohdd 256gbsd inteluhd620 13.3 windows10 168000
acer predator triton 500,https://cdn1.smartprix.com/rx-i3BU6aP7N-w103-h125/acer-predator-triton.jpg,acer intelcorei79thgen 16gbram nohdd 1tbssd 6gbnvidiagraphicscard 15.6 windows10 166000
acer predator g9-593,https://cdn1.smartprix.com/rx-iIFWpi0UR-w103-h125/acer-predator-g9-593.jpg,acer intelcorei77thgen 16gbram 1tbhdd nossd 6gbgraphicscard 15.6 windows10 153000
acer predator helios ph517-51,https://cdn1.smartprix.com/rx-ieigHr5I8-w103-h125/acer-predator-helios.jpg,acer intelcorei78thgen 16gbram 1tbhdd 256gbsd 8gbnvidiagraphicscard 17.3 windows10 148000
acer aspire nitro vn7-591g-74lk,https://cdn1.smartprix.com/rx-iAEZZiU2E-w103-h125/acer-aspire-nitro-vn.jpg,acer intelcorei74710hq4thgen 8gbram 1tbhdd nossd 2gbgraphicscard 15.6 windows10 142000
